activo_corriente;capital_invertido;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;provincia;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;publicidad;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;usa_ventas_comisionistas;uso_de_software;ventas_ventas_comisionistas;sobrevive_2años
1073877;213004;517037;507687;1076723;1501;147873;1625807;41397;1625807;12;4800896;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1
720454;10000;172780;758319;133588;1501;0;891907;0;891907;3;2212991;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1361334;300000;1028976;497824;865702;1501;0;1363526;0;1363526;2;2904507;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
331036;360000;771978;21789;627338;1501;0;649127;0;649127;13;3471445;ventas_otros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1442584;871700;648725;4084572;1552689;1501;0;5637261;0;5637261;15;2901242;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1137687;10500;1192309;1732242;664929;1501;475922;2397171;0;2397171;2;3144062;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
2370750;20000;784872;2614834;1387608;1501;0;4002442;0;4002442;2;3006992;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
5254237;1124260;2798246;4196458;1005005;1505;155;8353460;3151997;8353460;18;6488424;ventas_domicilio;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1
1534184;150033;1356738;219611;1344162;1501;0;1563773;0;1563773;6;2182048;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3580535;1000;1005180;2389594;1795296;1501;41247;4184890;0;4184890;12;3947503;ventas_domicilio;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0
5111090;1000000;3347458;4276813;1649215;1501;2;5926028;0;5926028;6;8374724;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
602642;19920;580911;180512;865217;1501;3339;1045729;0;1045729;10;3759135;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
4642021;1205000;6754264;1588511;3730918;1501;16345;5339739;20310;5339739;37;8973177;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
1377223;19050;417809;948013;724755;1501;0;1672768;0;1672768;10;2150367;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
1899403;215000;1014180;1609058;1240693;1501;11794;2920516;70765;2920516;11;4224397;ventas_mostrador;2;1;1;0;0;0;0;0;1;0;0;0;0;0;1
7645338;3413041;3280102;4106378;4722875;1501;40531;8882931;53678;8882931;23;8558822;ventas_telefono;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0
973730;130000;782238;249109;1130724;1501;0;1379833;0;1379833;17;899365;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1834498;177798;641612;6642;1918463;1501;0;1925105;0;1925105;7;2240447;ventas_comisionistas;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1341348;775895;1189877;253582;1041583;1501;56634;1737872;442707;1737872;17;2263690;ventas_ecommerce;3;1;1;0;0;1;0;0;0;0;1;0;1;0;0
6125550;1067254;1736077;2384889;4122603;1501;105;6591448;83956;6591448;14;5037810;ventas_telefono;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1
838500;500000;479891;579688;1052505;1501;0;1632193;0;1632193;5;2340757;ventas_telefono;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1165631;110000;1100486;1480598;968228;1501;0;2448826;0;2448826;18;3841589;ventas_domicilio;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1002183;108500;333311;57650;760805;1501;0;1061975;243520;1061975;4;3913945;ventas_domicilio;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2335802;1359644;1890169;438767;2074478;1501;8941;2673347;160102;2673347;10;3923078;ventas_telefono;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
