IRUC;ACTIVIDADECONOMICA;Actividad economica;Activo corriente;CIIU;Capital Suscrito;Capital pagado;Departamento;Distrito;Dividendos pagados1;Dividendos pagados2;Gastos financieros;MERCADERIAPRINCIPAL;Margen Comercial;NumMeses;Pasivo corriente;Patrimonio neto;Prestación de servicios;Provincia;Resultado de Explotacion;Total Activo;Total Pasivo no corriente;Total Pasivo y Patrimonio;Totalempleados;VENTAS;Ventas netas de mercaderías;Ventas netas de productos terminados, subproductos, desechos y desperdicios;canal_dominante;nro_canales_usados;publicidad;usa_catalogo;usa_comisionistas;usa_domicilio;usa_ecommerce;usa_ferias;usa_maquinas;usa_mostrador;usa_otros;usa_telefono;usa_total;usa_ventas_comisionistas;uso_de_software;ventas_catalogo;ventas_comisionistas;ventas_domicilio;ventas_ecommerce;ventas_ferias;ventas_maquinas;ventas_mostrador;ventas_otros;ventas_telefono;ventas_total;ventas_total_canal13;ventas_ventas_comisionistas;Año;Sobrevive_2años
168446;VENTA AL POR MENOR DE COMBUSTIBLES LIQUIDOS;;1073877;4730;213004;213004;15;150115;;;0;GASOHOL 90 OCTANOS GASOHOL 95 OCTANOS GASOHOL 97 OCTANOS  Y DIESEL;517037;12;507687;1076723;567966;1501;147873;1625807;41397;1625807;12;5368862;4800896;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4800896;0;0;4800896;4800896;0;2019;1
168451;VENTAS DE PRODUCTOS DE FERRETERIA;;720454;4653;10000;10000;15;150199;0;0;0;MANGUERAS Y MALLAS Y CINTA DE RIEGO Y GOTEROS Y GEOMEMBRANA Y EOLOS Y CINTA RODRIP;172780;12;758319;133588;0;1501;0;891907;0;891907;3;2212991;2212991;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2212991;0;0;2212991;2212991;0;2019;0
168454;VENTA DE UNIFORMES;;1361334;4641;300000;300000;15;150199;0;0;0;UNIFORMES;1028976;12;497824;865702;0;1501;0;1363526;0;1363526;2;2904507;2904507;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2904507;0;0;2904507;2904507;0;2019;0
168458;VENTA AL POR MAYOR DE HUEVOS;;331036;4630;360000;360000;15;150199;0;77455;0;HUEVOS;771978;12;21789;627338;0;1501;0;649127;0;649127;13;3471445;3471445;0;ventas_otros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3471445;0;3471445;3471445;0;2019;0
168485;VENTA DE MATERIALES DE CONSTRUCCION Y AFINES;;1442584;4663;871700;871700;15;150199;0;0;0;MELAMINA MADERA DRYWALL;648725;12;4084572;1552689;0;1501;0;5637261;0;5637261;15;2901242;2901242;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2901242;0;0;2901242;2901242;0;2019;0
168489;VENTA DE MENESTRAS AL POR MAYOR;;1137687;4630;100500;10500;15;150199;0;0;0;LA QUINUA;1192309;12;1732242;664929;0;1501;475922;2397171;0;2397171;2;3144062;3144062;0;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3144062;0;3144062;3144062;0;2019;0
168520;VENTA AL POR MAYOR DE BICICLETAS Y ACCESORIOS DE MOTOCICLETAS;;2370750;4690;20000;20000;15;150199;0;0;0;CASCOS;784872;12;2614834;1387608;0;1501;0;4002442;0;4002442;2;3006992;3006992;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3006992;0;0;3006992;3006992;0;2019;0
168552;COMPRA VENTA DE SABORES AROMAS MATERIA PRIMAS E INGREDIENTES PARA INDUSTRIA ALIMENTARIA;;5254237;4649;1124260;1124260;15;150501;0;0;0;VENTA DE SABORES;2798246;12;4196458;1005005;0;1505;155;8353460;3151997;8353460;18;6488424;6488424;0;ventas_domicilio;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;6488424;0;0;0;0;0;0;6488424;6488424;0;2019;1
168557;VENTAS DE PARTES  PIEZAS Y  ACCESORIOS PARA VEHICULOS AUTOMOTORES;;1534184;4530;150033;150033;15;150199;0;0;0;PASTILLAS  Y DISCOS DE FRENO;1356738;12;219611;1344162;0;1501;0;1563773;0;1563773;6;2182048;2182048;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2182048;0;0;2182048;2182048;0;2019;0
168611;VENTA DE SEMILLAS Y TURBA;;3580535;4620;1000;1000;15;150199;0;0;0;SEMILLAS;1005180;12;2389594;1795296;0;1501;41247;4184890;0;4184890;12;3947503;3947503;0;ventas_domicilio;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3947503;0;0;0;0;0;0;3947503;3947503;0;2019;0
